,categories,name,prices,site,url
2445,['sativa'],Chocolope,"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/chocolope/
2446,['indica'],Cherry Pie OG Organic,"[['1 gram', '$11'], ['3.5 grams', '$38'], ['7 grams', '$70'], ['14 grams', '$130'], ['25 grams', '$250']]",herbaldispatch.com,https://herbaldispatch.com/product/cherry-pie-og-organic/
2447,['indica'],Critical Mass,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$110'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/critical-mass/
2448,['sativa'],Crystal Coma,"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/crystal-coma/
2449,['indica'],Death Bubba (Organic),"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/death-bubba/
2450,['sativa'],DelaHaze,"[['1 gram', '$11'], ['3.5 grams', '$38'], ['7 grams', '$70'], ['14 grams', '$130'], ['28 grams', '$250']]",herbaldispatch.com,https://herbaldispatch.com/product/dela-haze/
2451,['sativa'],Durban Poison,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$115'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/durban-poison/
2452,['sativa'],Dutch Hawaiian,"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/dutch-hawaiian/
2453,['sativa'],Ghost Train Haze,"[['1 gram', '$10'], ['3.5 grams', '$35'], ['7 grams', '$65'], ['14 grams', '$125'], ['28 grams', '$240']]",herbaldispatch.com,https://herbaldispatch.com/product/ghost-train-haze/
2454,['sativa'],Girl Scout Cookies,"[['1 gram', '$9'], ['3.5 grams', '$30'], ['7 grams', '$60'], ['14 grams', '$110'], ['28 grams', '$220']]",herbaldispatch.com,https://herbaldispatch.com/product/girl-scout-cookies/
