,categories,name,prices,site,url
223,['hash'],Blonde Moroccan Hash Casa Di Stamp – Half Ounce,"[['', '200.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/blonde-moroccan-hash-casa-di-stamp/
225,['shatter & budder'],Blue Dream Shatter (Half Ounce),"[['', '300.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/blue-dream-shatter-half-pound/
226,"['diamonds, sauce & live resin']",Blue Dream THCa Diamonds,"[['', '50.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/blue-dream-thca-diamonds/
233,['thc vape pens'],Blueberry THC Vape Cartrdiges,"[['', '60.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/indica-blueberry-thc-vape-cartrdiges-1-2ml/
240,['cbd'],CBD Isolate Capsules (10 Pills),"[['', '60.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/cbd-isolate-capsules-10-pills/
243,['thc vape pens'],Champagne THC Vape Cartridges (0.6ml),"[['', '35.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/champagne-thc-vape-cartridges/
244,['shatter & budder'],Critical Mass Shatter (Half Ounce),"[['', '300.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/critical-mass-shatter-half-ounce/
245,['hash'],Dady Stamp Afghan Hash – Half Ounce,"[['', '200.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/dady-stamp-afghan-hash-half-ounce/
249,['hash'],Death Bubba Hash – Half Ounce,"[['', '150.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/death-bubba-hash/
251,['shatter & budder'],Death Bubba Shatter (Half Ounce),"[['', '250.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/death-bubba-shatter/
253,['hash'],Diamond Stamp Turkish Hash – Half Ounce,"[['', '200.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/diamond-stamp-turkish-hash-half-ounce-2/
258,['accessories'],Elements 300’s 1¼ (20 Packs),"[['', '55.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/elements-300s-1%c2%bc/
259,['accessories'],Elements Connoisseur 1¼ Pack (24 Packs),"[['', '65.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/elements-connoisseur-1%c2%bc-pack/
260,['accessories'],Elements Rollies 10 SW (50packs),"[['', '35.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/elements-rollies-10-sw-50packs/
261,['accessories'],Elements Rollies Pack 1/4 W/ Magnet (25 Packs),"[['', '35.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/elements-rollies-pack-1-4-w-magnet/
